"mapCode","species"
1,"Abie_Bal"
2,"Abie_Las"
3,"Abie_Las"
3,"Abie_Bal"
4,"Betu_Pap"
5,"Betu_Pap"
5,"Abie_Las"
6,"Pice_Gla"
7,"Pice_Gla"
7,"Abie_Las"
8,"Pice_Gla"
8,"Abie_Las"
8,"Abie_Bal"
9,"Pice_Gla"
9,"Betu_Pap"
10,"Pice_Gla"
10,"Betu_Pap"
10,"Abie_Bal"
11,"Pice_Gla"
11,"Betu_Pap"
11,"Abie_Las"
12,"Pice_Mar"
13,"Pice_Mar"
13,"Abie_Bal"
14,"Pice_Mar"
14,"Abie_Las"
15,"Pice_Mar"
15,"Betu_Pap"
16,"Pice_Mar"
16,"Betu_Pap"
16,"Abie_Bal"
17,"Pice_Mar"
17,"Betu_Pap"
17,"Abie_Las"
17,"Abie_Bal"
18,"Pice_Mar"
18,"Pice_Gla"
19,"Pice_Mar"
19,"Pice_Gla"
19,"Abie_Bal"
20,"Pice_Mar"
20,"Pice_Gla"
20,"Abie_Las"
21,"Pice_Mar"
21,"Pice_Gla"
21,"Abie_Las"
21,"Abie_Bal"
22,"Pice_Mar"
22,"Pice_Gla"
22,"Betu_Pap"
23,"Pice_Mar"
23,"Pice_Gla"
23,"Betu_Pap"
23,"Abie_Bal"
24,"Pice_Mar"
24,"Pice_Gla"
24,"Betu_Pap"
24,"Abie_Las"
25,"Pice_Mar"
25,"Pice_Gla"
25,"Betu_Pap"
25,"Abie_Las"
25,"Abie_Bal"
26,"Pice_Mar"
26,"Pice_Gla"
26,"Betu_Pap"
26,"Abie_Bal"
27,"Pinu_Ban"
27,"Abie_Bal"
28,"Pinu_Ban"
28,"Betu_Pap"
29,"Pinu_Ban"
29,"Betu_Pap"
29,"Abie_Bal"
30,"Pinu_Ban"
30,"Pice_Gla"
31,"Pinu_Ban"
31,"Pice_Gla"
31,"Abie_Bal"
32,"Pinu_Ban"
32,"Pice_Gla"
32,"Abie_Las"
33,"Pinu_Ban"
33,"Pice_Gla"
33,"Betu_Pap"
34,"Pinu_Ban"
34,"Pice_Gla"
34,"Betu_Pap"
34,"Abie_Las"
35,"Pinu_Ban"
35,"Pice_Mar"
36,"Pinu_Ban"
36,"Pice_Mar"
36,"Abie_Bal"
37,"Pinu_Ban"
37,"Pice_Mar"
37,"Abie_Las"
38,"Pinu_Ban"
38,"Pice_Mar"
38,"Betu_Pap"
39,"Pinu_Ban"
39,"Pice_Mar"
39,"Betu_Pap"
39,"Abie_Bal"
40,"Pinu_Ban"
40,"Pice_Mar"
40,"Betu_Pap"
40,"Abie_Las"
41,"Pinu_Ban"
41,"Pice_Mar"
41,"Pice_Gla"
42,"Pinu_Ban"
42,"Pice_Mar"
42,"Pice_Gla"
42,"Abie_Bal"
43,"Pinu_Ban"
43,"Pice_Mar"
43,"Pice_Gla"
43,"Abie_Las"
44,"Pinu_Ban"
44,"Pice_Mar"
44,"Pice_Gla"
44,"Betu_Pap"
45,"Pinu_Ban"
45,"Pice_Mar"
45,"Pice_Gla"
45,"Betu_Pap"
45,"Abie_Bal"
46,"Pinu_Ban"
46,"Pice_Mar"
46,"Pice_Gla"
46,"Betu_Pap"
46,"Abie_Las"
47,"Pinu_Ban"
47,"Pice_Mar"
47,"Pice_Gla"
47,"Betu_Pap"
47,"Abie_Las"
47,"Abie_Bal"
48,"Pice_Mar"
48,"Pice_Gla"
48,"Betu_Pap"
48,"Abie_Bal"
49,"Pinu_Con"
49,"Abie_Bal"
50,"Pinu_Con"
50,"Abie_Las"
51,"Pinu_Con"
51,"Abie_Las"
51,"Abie_Bal"
52,"Pinu_Con"
52,"Betu_Pap"
53,"Pinu_Con"
53,"Betu_Pap"
53,"Abie_Las"
54,"Pinu_Con"
54,"Pice_Gla"
55,"Pinu_Con"
55,"Pice_Gla"
55,"Abie_Las"
56,"Pinu_Con"
56,"Pice_Gla"
56,"Abie_Las"
56,"Abie_Bal"
57,"Pinu_Con"
57,"Pice_Gla"
57,"Betu_Pap"
58,"Pinu_Con"
58,"Pice_Gla"
58,"Betu_Pap"
58,"Abie_Las"
59,"Pinu_Con"
59,"Pice_Mar"
60,"Pinu_Con"
60,"Pice_Mar"
60,"Abie_Bal"
61,"Pinu_Con"
61,"Pice_Mar"
61,"Abie_Las"
62,"Pinu_Con"
62,"Pice_Mar"
62,"Abie_Las"
62,"Abie_Bal"
63,"Pinu_Con"
63,"Pice_Mar"
63,"Betu_Pap"
64,"Pinu_Con"
64,"Pice_Mar"
64,"Betu_Pap"
64,"Abie_Las"
65,"Pinu_Con"
65,"Pice_Mar"
65,"Pice_Gla"
66,"Pinu_Con"
66,"Pice_Mar"
66,"Pice_Gla"
66,"Abie_Bal"
67,"Pinu_Con"
67,"Pice_Mar"
67,"Pice_Gla"
67,"Abie_Las"
68,"Pinu_Con"
68,"Pice_Mar"
68,"Pice_Gla"
68,"Abie_Las"
68,"Abie_Bal"
69,"Pinu_Con"
69,"Pice_Mar"
69,"Pice_Gla"
69,"Betu_Pap"
70,"Pinu_Con"
70,"Pice_Mar"
70,"Pice_Gla"
70,"Betu_Pap"
70,"Abie_Bal"
71,"Pinu_Con"
71,"Pice_Mar"
71,"Pice_Gla"
71,"Betu_Pap"
71,"Abie_Las"
72,"Pinu_Con"
72,"Pice_Mar"
72,"Pice_Gla"
72,"Betu_Pap"
72,"Abie_Las"
72,"Abie_Bal"
73,"Pinu_Con"
73,"Pinu_Ban"
74,"Pinu_Con"
74,"Pinu_Ban"
74,"Pice_Gla"
75,"Pinu_Con"
75,"Pinu_Ban"
75,"Pice_Gla"
75,"Abie_Bal"
76,"Pinu_Con"
76,"Pinu_Ban"
76,"Pice_Gla"
76,"Abie_Las"
77,"Pinu_Con"
77,"Pinu_Ban"
77,"Pice_Gla"
77,"Abie_Las"
77,"Abie_Bal"
78,"Pinu_Con"
78,"Pinu_Ban"
78,"Pice_Mar"
79,"Pinu_Con"
79,"Pinu_Ban"
79,"Pice_Mar"
79,"Abie_Bal"
80,"Pinu_Con"
80,"Pinu_Ban"
80,"Pice_Mar"
80,"Abie_Las"
81,"Pinu_Con"
81,"Pinu_Ban"
81,"Pice_Mar"
81,"Betu_Pap"
82,"Pinu_Con"
82,"Pinu_Ban"
82,"Pice_Mar"
82,"Betu_Pap"
82,"Abie_Las"
83,"Pinu_Con"
83,"Pinu_Ban"
83,"Pice_Mar"
83,"Pice_Gla"
84,"Pinu_Con"
84,"Pinu_Ban"
84,"Pice_Mar"
84,"Pice_Gla"
84,"Abie_Bal"
85,"Pinu_Con"
85,"Pinu_Ban"
85,"Pice_Mar"
85,"Pice_Gla"
85,"Abie_Las"
86,"Pinu_Con"
86,"Pinu_Ban"
86,"Pice_Mar"
86,"Pice_Gla"
86,"Abie_Las"
86,"Abie_Bal"
87,"Pinu_Con"
87,"Pinu_Ban"
87,"Pice_Mar"
87,"Pice_Gla"
87,"Betu_Pap"
88,"Pinu_Con"
88,"Pinu_Ban"
88,"Pice_Mar"
88,"Pice_Gla"
88,"Betu_Pap"
88,"Abie_Bal"
89,"Pinu_Con"
89,"Pinu_Ban"
89,"Pice_Mar"
89,"Pice_Gla"
89,"Betu_Pap"
89,"Abie_Las"
90,"Pinu_Con"
90,"Pinu_Ban"
90,"Pice_Mar"
90,"Pice_Gla"
90,"Betu_Pap"
90,"Abie_Las"
90,"Abie_Bal"
91,"Pinu_Str"
91,"Pice_Gla"
91,"Betu_Pap"
91,"Abie_Bal"
92,"Pinu_Str"
92,"Pice_Mar"
93,"Pinu_Str"
93,"Pice_Mar"
93,"Pice_Gla"
93,"Betu_Pap"
93,"Abie_Bal"
94,"Pinu_Str"
94,"Pinu_Ban"
94,"Pice_Mar"
95,"Pinu_Str"
95,"Pinu_Ban"
95,"Pice_Mar"
95,"Abie_Bal"
96,"Pinu_Str"
96,"Pinu_Ban"
96,"Pice_Mar"
96,"Betu_Pap"
97,"Pinu_Str"
97,"Pinu_Ban"
97,"Pice_Mar"
97,"Betu_Pap"
97,"Abie_Bal"
98,"Pinu_Str"
98,"Pinu_Ban"
98,"Pice_Mar"
98,"Pice_Gla"
98,"Abie_Bal"
99,"Pinu_Str"
99,"Pinu_Ban"
99,"Pice_Mar"
99,"Pice_Gla"
99,"Betu_Pap"
99,"Abie_Bal"
100,"Pice_Mar"
100,"Pice_Gla"
100,"Betu_Pap"
100,"Abie_Bal"
101,"Popu_Tre"
101,"Abie_Bal"
102,"Popu_Tre"
102,"Abie_Las"
103,"Popu_Tre"
103,"Abie_Las"
103,"Abie_Bal"
104,"Popu_Tre"
104,"Betu_Pap"
105,"Popu_Tre"
105,"Betu_Pap"
105,"Abie_Bal"
106,"Popu_Tre"
106,"Betu_Pap"
106,"Abie_Las"
107,"Popu_Tre"
107,"Pice_Gla"
108,"Popu_Tre"
108,"Pice_Gla"
108,"Abie_Bal"
109,"Popu_Tre"
109,"Pice_Gla"
109,"Abie_Las"
110,"Popu_Tre"
110,"Pice_Gla"
110,"Abie_Las"
110,"Abie_Bal"
111,"Popu_Tre"
111,"Pice_Gla"
111,"Betu_Pap"
112,"Popu_Tre"
112,"Pice_Gla"
112,"Betu_Pap"
112,"Abie_Bal"
113,"Popu_Tre"
113,"Pice_Gla"
113,"Betu_Pap"
113,"Abie_Las"
114,"Popu_Tre"
114,"Pice_Gla"
114,"Betu_Pap"
114,"Abie_Las"
114,"Abie_Bal"
115,"Popu_Tre"
115,"Pice_Mar"
116,"Popu_Tre"
116,"Pice_Mar"
116,"Abie_Bal"
117,"Popu_Tre"
117,"Pice_Mar"
117,"Abie_Las"
118,"Popu_Tre"
118,"Pice_Mar"
118,"Abie_Las"
118,"Abie_Bal"
119,"Popu_Tre"
119,"Pice_Mar"
119,"Betu_Pap"
120,"Popu_Tre"
120,"Pice_Mar"
120,"Betu_Pap"
120,"Abie_Bal"
121,"Popu_Tre"
121,"Pice_Mar"
121,"Betu_Pap"
121,"Abie_Las"
122,"Popu_Tre"
122,"Pice_Mar"
122,"Pice_Gla"
123,"Popu_Tre"
123,"Pice_Mar"
123,"Pice_Gla"
123,"Abie_Bal"
124,"Popu_Tre"
124,"Pice_Mar"
124,"Pice_Gla"
124,"Abie_Las"
125,"Popu_Tre"
125,"Pice_Mar"
125,"Pice_Gla"
125,"Abie_Las"
125,"Abie_Bal"
126,"Popu_Tre"
126,"Pice_Mar"
126,"Pice_Gla"
126,"Betu_Pap"
127,"Popu_Tre"
127,"Pice_Mar"
127,"Pice_Gla"
127,"Betu_Pap"
127,"Abie_Bal"
128,"Popu_Tre"
128,"Pice_Mar"
128,"Pice_Gla"
128,"Betu_Pap"
128,"Abie_Las"
129,"Popu_Tre"
129,"Pice_Mar"
129,"Pice_Gla"
129,"Betu_Pap"
129,"Abie_Las"
129,"Abie_Bal"
130,"Popu_Tre"
130,"Pinu_Ban"
131,"Popu_Tre"
131,"Pinu_Ban"
131,"Betu_Pap"
132,"Popu_Tre"
132,"Pinu_Ban"
132,"Pice_Gla"
133,"Popu_Tre"
133,"Pinu_Ban"
133,"Pice_Gla"
133,"Abie_Bal"
134,"Popu_Tre"
134,"Pinu_Ban"
134,"Pice_Gla"
134,"Abie_Las"
135,"Popu_Tre"
135,"Pinu_Ban"
135,"Pice_Gla"
135,"Betu_Pap"
136,"Popu_Tre"
136,"Pinu_Ban"
136,"Pice_Gla"
136,"Betu_Pap"
136,"Abie_Bal"
137,"Popu_Tre"
137,"Pinu_Ban"
137,"Pice_Mar"
138,"Popu_Tre"
138,"Pinu_Ban"
138,"Pice_Mar"
138,"Abie_Bal"
139,"Popu_Tre"
139,"Pinu_Ban"
139,"Pice_Mar"
139,"Abie_Las"
140,"Popu_Tre"
140,"Pinu_Ban"
140,"Pice_Mar"
140,"Betu_Pap"
141,"Popu_Tre"
141,"Pinu_Ban"
141,"Pice_Mar"
141,"Betu_Pap"
141,"Abie_Bal"
142,"Popu_Tre"
142,"Pinu_Ban"
142,"Pice_Mar"
142,"Betu_Pap"
142,"Abie_Las"
143,"Popu_Tre"
143,"Pinu_Ban"
143,"Pice_Mar"
143,"Betu_Pap"
143,"Abie_Las"
143,"Abie_Bal"
144,"Popu_Tre"
144,"Pinu_Ban"
144,"Pice_Mar"
144,"Pice_Gla"
145,"Popu_Tre"
145,"Pinu_Ban"
145,"Pice_Mar"
145,"Pice_Gla"
145,"Abie_Bal"
146,"Popu_Tre"
146,"Pinu_Ban"
146,"Pice_Mar"
146,"Pice_Gla"
146,"Abie_Las"
147,"Popu_Tre"
147,"Pinu_Ban"
147,"Pice_Mar"
147,"Pice_Gla"
147,"Abie_Las"
147,"Abie_Bal"
148,"Popu_Tre"
148,"Pinu_Ban"
148,"Pice_Mar"
148,"Pice_Gla"
148,"Betu_Pap"
149,"Popu_Tre"
149,"Pinu_Ban"
149,"Pice_Mar"
149,"Pice_Gla"
149,"Betu_Pap"
149,"Abie_Bal"
150,"Popu_Tre"
150,"Pinu_Ban"
150,"Pice_Mar"
150,"Pice_Gla"
150,"Betu_Pap"
150,"Abie_Las"
151,"Popu_Tre"
151,"Pinu_Ban"
151,"Pice_Mar"
151,"Pice_Gla"
151,"Betu_Pap"
151,"Abie_Las"
151,"Abie_Bal"
152,"Pinu_Str"
152,"Pinu_Con"
152,"Pice_Mar"
152,"Pice_Gla"
152,"Betu_Pap"
152,"Abie_Bal"
153,"Popu_Tre"
153,"Pinu_Con"
153,"Abie_Las"
154,"Popu_Tre"
154,"Pinu_Con"
154,"Abie_Las"
154,"Abie_Bal"
155,"Popu_Tre"
155,"Pinu_Con"
155,"Betu_Pap"
156,"Popu_Tre"
156,"Pinu_Con"
156,"Betu_Pap"
156,"Abie_Bal"
157,"Popu_Tre"
157,"Pinu_Con"
157,"Betu_Pap"
157,"Abie_Las"
158,"Popu_Tre"
158,"Pinu_Con"
158,"Betu_Pap"
158,"Abie_Las"
158,"Abie_Bal"
159,"Popu_Tre"
159,"Pinu_Con"
159,"Pice_Gla"
160,"Popu_Tre"
160,"Pinu_Con"
160,"Pice_Gla"
160,"Abie_Bal"
161,"Popu_Tre"
161,"Pinu_Con"
161,"Pice_Gla"
161,"Abie_Las"
162,"Popu_Tre"
162,"Pinu_Con"
162,"Pice_Gla"
162,"Abie_Las"
162,"Abie_Bal"
163,"Popu_Tre"
163,"Pinu_Con"
163,"Pice_Gla"
163,"Betu_Pap"
164,"Popu_Tre"
164,"Pinu_Con"
164,"Pice_Gla"
164,"Betu_Pap"
164,"Abie_Bal"
165,"Popu_Tre"
165,"Pinu_Con"
165,"Pice_Gla"
165,"Betu_Pap"
165,"Abie_Las"
166,"Popu_Tre"
166,"Pinu_Con"
166,"Pice_Gla"
166,"Betu_Pap"
166,"Abie_Las"
166,"Abie_Bal"
167,"Popu_Tre"
167,"Pinu_Con"
167,"Pice_Mar"
168,"Popu_Tre"
168,"Pinu_Con"
168,"Pice_Mar"
168,"Abie_Las"
169,"Popu_Tre"
169,"Pinu_Con"
169,"Pice_Mar"
169,"Betu_Pap"
170,"Popu_Tre"
170,"Pinu_Con"
170,"Pice_Mar"
170,"Betu_Pap"
170,"Abie_Bal"
171,"Popu_Tre"
171,"Pinu_Con"
171,"Pice_Mar"
171,"Betu_Pap"
171,"Abie_Las"
172,"Popu_Tre"
172,"Pinu_Con"
172,"Pice_Mar"
172,"Betu_Pap"
172,"Abie_Las"
172,"Abie_Bal"
173,"Popu_Tre"
173,"Pinu_Con"
173,"Pice_Mar"
173,"Pice_Gla"
174,"Popu_Tre"
174,"Pinu_Con"
174,"Pice_Mar"
174,"Pice_Gla"
174,"Abie_Bal"
175,"Popu_Tre"
175,"Pinu_Con"
175,"Pice_Mar"
175,"Pice_Gla"
175,"Abie_Las"
176,"Popu_Tre"
176,"Pinu_Con"
176,"Pice_Mar"
176,"Pice_Gla"
176,"Abie_Las"
176,"Abie_Bal"
177,"Popu_Tre"
177,"Pinu_Con"
177,"Pice_Mar"
177,"Pice_Gla"
177,"Betu_Pap"
178,"Popu_Tre"
178,"Pinu_Con"
178,"Pice_Mar"
178,"Pice_Gla"
178,"Betu_Pap"
178,"Abie_Bal"
179,"Popu_Tre"
179,"Pinu_Con"
179,"Pice_Mar"
179,"Pice_Gla"
179,"Betu_Pap"
179,"Abie_Las"
180,"Popu_Tre"
180,"Pinu_Con"
180,"Pice_Mar"
180,"Pice_Gla"
180,"Betu_Pap"
180,"Abie_Las"
180,"Abie_Bal"
181,"Popu_Tre"
181,"Pinu_Con"
181,"Pinu_Ban"
182,"Popu_Tre"
182,"Pinu_Con"
182,"Pinu_Ban"
182,"Abie_Las"
183,"Popu_Tre"
183,"Pinu_Con"
183,"Pinu_Ban"
183,"Betu_Pap"
184,"Popu_Tre"
184,"Pinu_Con"
184,"Pinu_Ban"
184,"Pice_Gla"
185,"Popu_Tre"
185,"Pinu_Con"
185,"Pinu_Ban"
185,"Pice_Gla"
185,"Abie_Bal"
186,"Popu_Tre"
186,"Pinu_Con"
186,"Pinu_Ban"
186,"Pice_Gla"
186,"Abie_Las"
187,"Popu_Tre"
187,"Pinu_Con"
187,"Pinu_Ban"
187,"Pice_Gla"
187,"Abie_Las"
187,"Abie_Bal"
188,"Popu_Tre"
188,"Pinu_Con"
188,"Pinu_Ban"
188,"Pice_Gla"
188,"Betu_Pap"
189,"Popu_Tre"
189,"Pinu_Con"
189,"Pinu_Ban"
189,"Pice_Gla"
189,"Betu_Pap"
189,"Abie_Bal"
190,"Popu_Tre"
190,"Pinu_Con"
190,"Pinu_Ban"
190,"Pice_Gla"
190,"Betu_Pap"
190,"Abie_Las"
191,"Popu_Tre"
191,"Pinu_Con"
191,"Pinu_Ban"
191,"Pice_Gla"
191,"Betu_Pap"
191,"Abie_Las"
191,"Abie_Bal"
192,"Popu_Tre"
192,"Pinu_Con"
192,"Pinu_Ban"
192,"Pice_Mar"
193,"Popu_Tre"
193,"Pinu_Con"
193,"Pinu_Ban"
193,"Pice_Mar"
193,"Abie_Bal"
194,"Popu_Tre"
194,"Pinu_Con"
194,"Pinu_Ban"
194,"Pice_Mar"
194,"Abie_Las"
195,"Popu_Tre"
195,"Pinu_Con"
195,"Pinu_Ban"
195,"Pice_Mar"
195,"Abie_Las"
195,"Abie_Bal"
196,"Popu_Tre"
196,"Pinu_Con"
196,"Pinu_Ban"
196,"Pice_Mar"
196,"Betu_Pap"
197,"Popu_Tre"
197,"Pinu_Con"
197,"Pinu_Ban"
197,"Pice_Mar"
197,"Betu_Pap"
197,"Abie_Bal"
198,"Popu_Tre"
198,"Pinu_Con"
198,"Pinu_Ban"
198,"Pice_Mar"
198,"Betu_Pap"
198,"Abie_Las"
199,"Popu_Tre"
199,"Pinu_Con"
199,"Pinu_Ban"
199,"Pice_Mar"
199,"Betu_Pap"
199,"Abie_Las"
199,"Abie_Bal"
200,"Popu_Tre"
200,"Pinu_Con"
200,"Pinu_Ban"
200,"Pice_Mar"
200,"Pice_Gla"
201,"Popu_Tre"
201,"Pinu_Con"
201,"Pinu_Ban"
201,"Pice_Mar"
201,"Pice_Gla"
201,"Abie_Bal"
202,"Popu_Tre"
202,"Pinu_Con"
202,"Pinu_Ban"
202,"Pice_Mar"
202,"Pice_Gla"
202,"Abie_Las"
203,"Popu_Tre"
203,"Pinu_Con"
203,"Pinu_Ban"
203,"Pice_Mar"
203,"Pice_Gla"
203,"Abie_Las"
203,"Abie_Bal"
204,"Popu_Tre"
204,"Pinu_Con"
204,"Pinu_Ban"
204,"Pice_Mar"
204,"Pice_Gla"
204,"Betu_Pap"
205,"Popu_Tre"
205,"Pinu_Con"
205,"Pinu_Ban"
205,"Pice_Mar"
205,"Pice_Gla"
205,"Betu_Pap"
205,"Abie_Bal"
206,"Popu_Tre"
206,"Pinu_Con"
206,"Pinu_Ban"
206,"Pice_Mar"
206,"Pice_Gla"
206,"Betu_Pap"
206,"Abie_Las"
207,"Popu_Tre"
207,"Pinu_Con"
207,"Pinu_Ban"
207,"Pice_Mar"
207,"Pice_Gla"
207,"Betu_Pap"
207,"Abie_Las"
207,"Abie_Bal"
208,"Popu_Tre"
208,"Pinu_Str"
208,"Betu_Pap"
208,"Abie_Bal"
209,"Popu_Tre"
209,"Pinu_Str"
209,"Pice_Gla"
209,"Betu_Pap"
209,"Abie_Bal"
210,"Popu_Tre"
210,"Pinu_Str"
210,"Pice_Mar"
211,"Popu_Tre"
211,"Pinu_Str"
211,"Pice_Mar"
211,"Pice_Gla"
211,"Betu_Pap"
212,"Popu_Tre"
212,"Pinu_Str"
212,"Pice_Mar"
212,"Pice_Gla"
212,"Betu_Pap"
212,"Abie_Bal"
213,"Popu_Tre"
213,"Pinu_Str"
213,"Pice_Mar"
213,"Pice_Gla"
213,"Betu_Pap"
213,"Abie_Las"
213,"Abie_Bal"
214,"Popu_Tre"
214,"Pinu_Str"
214,"Pinu_Ban"
214,"Pice_Gla"
214,"Betu_Pap"
214,"Abie_Bal"
215,"Popu_Tre"
215,"Pinu_Str"
215,"Pinu_Ban"
215,"Pice_Mar"
216,"Popu_Tre"
216,"Pinu_Str"
216,"Pinu_Ban"
216,"Pice_Mar"
216,"Abie_Bal"
217,"Popu_Tre"
217,"Pinu_Str"
217,"Pinu_Ban"
217,"Pice_Mar"
217,"Betu_Pap"
218,"Popu_Tre"
218,"Pinu_Str"
218,"Pinu_Ban"
218,"Pice_Mar"
218,"Betu_Pap"
218,"Abie_Bal"
219,"Popu_Tre"
219,"Pinu_Str"
219,"Pinu_Ban"
219,"Pice_Mar"
219,"Pice_Gla"
219,"Abie_Bal"
220,"Popu_Tre"
220,"Pinu_Str"
220,"Pinu_Ban"
220,"Pice_Mar"
220,"Pice_Gla"
220,"Betu_Pap"
221,"Popu_Tre"
221,"Pinu_Str"
221,"Pinu_Ban"
221,"Pice_Mar"
221,"Pice_Gla"
221,"Betu_Pap"
221,"Abie_Bal"
222,"Popu_Tre"
222,"Pinu_Str"
222,"Pinu_Ban"
222,"Pice_Mar"
222,"Pice_Gla"
222,"Betu_Pap"
222,"Abie_Las"
222,"Abie_Bal"
223,"Popu_Tre"
223,"Pinu_Str"
223,"Pinu_Con"
223,"Pice_Gla"
223,"Betu_Pap"
223,"Abie_Bal"
224,"Popu_Tre"
224,"Pinu_Str"
224,"Pinu_Con"
224,"Pice_Mar"
224,"Pice_Gla"
224,"Betu_Pap"
225,"Popu_Tre"
225,"Pinu_Str"
225,"Pinu_Con"
225,"Pice_Mar"
225,"Pice_Gla"
225,"Betu_Pap"
225,"Abie_Bal"
226,"Popu_Tre"
226,"Pinu_Str"
226,"Pinu_Con"
226,"Pice_Mar"
226,"Pice_Gla"
226,"Betu_Pap"
226,"Abie_Las"
226,"Abie_Bal"
227,"Popu_Tre"
227,"Pinu_Str"
227,"Pinu_Con"
227,"Pinu_Ban"
227,"Pice_Mar"
227,"Pice_Gla"
227,"Abie_Bal"
228,"Popu_Tre"
228,"Pinu_Str"
228,"Pinu_Con"
228,"Pinu_Ban"
228,"Pice_Mar"
228,"Pice_Gla"
228,"Betu_Pap"
228,"Abie_Bal"
229,"Popu_Tre"
229,"Pinu_Str"
229,"Pinu_Con"
229,"Pinu_Ban"
229,"Pice_Mar"
229,"Pice_Gla"
229,"Betu_Pap"
229,"Abie_Las"
229,"Abie_Bal"
